speed_p,speed_r,speed_d,distance_d_p,distance_d_r,angle_d,possTimePre,possessionTime,flag
2.25,6.15,7.91,2.33,2.75,2.69,0.96,7.04,1
3.29,2.80,4.74,7.33,15.55,0.67,2.20,10.80,0
3.09,3.75,6.50,4.59,9.78,1.59,0.96,2.12,1
2.70,4.07,4.56,11.99,2.72,0.86,2.80,7.16,1
2.25,1.58,4.37,8.01,13.10,0.49,1.48,9.40,0
4.85,3.58,1.27,21.24,16.51,0.26,0.80,3.96,0
4.27,0.25,1.27,20.54,24.66,0.49,1.96,9.68,0
0.71,0.90,7.28,7.94,12.66,0.95,0.00,1.60,1
1.06,2.14,6.19,3.01,7.54,1.44,1.16,3.20,1
4.74,1.50,3.04,2.32,15.43,1.98,1.40,5.56,1
1.52,5.02,4.42,45.33,12.81,0.01,2.20,10.80,0
2.26,6.31,6.54,7.06,3.93,0.15,0.64,13.00,1
3.64,4.83,2.80,25.11,8.37,1.06,1.00,17.36,0
4.45,5.59,6.29,10.77,3.40,2.64,1.16,5.32,0
2.80,3.40,0.25,11.47,11.53,0.48,0.76,5.04,0
3.01,1.25,2.02,3.11,2.82,1.98,4.96,5.04,1
4.76,0.25,2.69,6.97,8.46,0.93,1.36,7.00,1
1.60,1.82,3.61,31.47,39.80,0.42,1.28,14.20,0
2.24,0.56,0.90,15.48,8.20,0.75,0.92,7.88,1
3.35,2.55,3.54,3.81,23.12,1.32,2.52,11.80,1
2.80,1.06,4.72,4.50,11.31,1.11,2.44,14.64,1
2.76,0.90,1.25,2.06,7.55,0.13,2.04,17.00,1
0.56,0.71,4.70,8.20,8.17,0.17,1.56,18.88,1
4.12,3.09,3.91,3.16,3.86,1.77,0.72,19.84,1
5.02,0.79,5.30,2.91,26.72,0.08,8.08,28.92,0
2.24,2.92,5.71,2.40,18.35,0.25,2.36,3.20,1
2.15,0.75,4.81,3.54,6.79,2.13,2.68,6.04,1
1.68,1.90,4.07,4.27,15.95,0.89,0.72,8.24,1
3.16,2.57,3.35,10.06,29.83,0.08,1.76,10.48,1
1.25,0.35,2.26,17.79,17.90,0.12,3.68,16.44,1
3.50,4.51,3.48,16.53,14.20,0.05,6.08,23.72,1
