speed_p	speed_r	speed_d	distance_d_p	distance_d_r	distance_d1_p	distance_d2_r	angle_d	angle_d1_p	angle_d2_r	possTimePre	possessionTime	flag
3.81	1.12	0.9	24.6	89.31	3.01	49.66	0.01	2.66	0.21	3.08	27.16	0
2.92	1.8	2.85	31.71	8.51	19.4	8.51	0.14	0.13	0.06	14.32	27.44	0
1.68	1.41	4.83	1.64	16.02	1.64	7.38	3.07	3.07	0.06	5.28	13.64	1
3.05	3.54	3.75	4.47	16.92	4.47	14.01	0.64	0.64	2.11	3.68	18.32	1
1.25	1.77	1.82	12.76	9.77	6.28	3.89	0.14	0.04	0.38	2.84	22.32	1
3.58	2.8	1.77	3.84	8.49	3.84	2.91	0.23	0.23	1.87	1.84	24.44	1
1.68	6.33	3.16	1.02	11.32	1.02	4.71	2.24	2.24	0.76	0.88	28.04	1
0.25	1.41	1.03	38.92	20.59	5.68	4.95	0.05	0.62	2.35	1.96	74.4	0
1.6	3.51	3.58	8.22	11.05	8.22	5.55	0.11	0.11	0.53	0.44	1.48	1
3.04	6.4	3.25	17.67	14.33	4.14	3.16	1.06	1.42	2.93	2.64	5.52	1
6.37	7.75	8.2	10.41	4.85	6.23	4.85	0.85	2.01	2.18	0.64	7.88	1
4.37	3.2	0.9	3.92	9.44	2.12	4.62	0.65	0.74	0.88	7.64	12.76	1
5.49	3.01	5.3	4.4	8.84	3.41	8.84	0.76	1.18	0.33	2	15.96	1
2.93	7.21	5.66	6.11	22.52	6.11	22.52	2.18	2.18	0.39	1.16	18.84	1
1.25	3.58	3.64	4.26	6.63	4.26	0.71	0.31	0.31	0.51	2.6	23.56	1
1.35	1.27	0.71	0.72	11.4	0.72	9.51	0.02	0.02	0.39	2.6	26.16	0
2.75	0.5	3.16	1.17	9.26	1.17	9.26	1.91	1.91	2.08	3.96	4.68	1
1.12	2.46	4.07	56.6	68.4	6.08	5.11	0.01	0.15	1.22	1.92	11.12	0
0.79	2.15	1.27	31.64	20.39	7.66	5.91	0.01	0.33	0.11	7.4	12.2	0
8.75	2.14	2.02	1.87	2.24	1.87	2.24	2.81	2.81	2.6	1.52	1.52	1
2.14	0.5	3.76	3.11	7.99	2.24	7.99	1.47	0.47	1.91	0	2.28	1
4.65	1.03	3.58	4.65	1.73	1.43	1.73	2.55	0.99	0.3	3.12	5.64	1
3.05	1.68	2.8	6.4	6.62	6.4	6.62	0.21	0.21	0.23	1.4	7.4	1
2.5	3.51	2.61	15.21	10.79	2.55	10.58	0.74	1.26	0.24	1.52	10.48	1
8.5	10.04	2.83	4.96	2.14	3.74	2.14	0.48	2.77	2.66	1.64	12.12	1
4.04	3.01	3.69	4.06	10.54	4.06	7.48	0.53	0.53	1.48	2.2	14.88	1
1.9	0.25	2.92	5.36	12.3	5.36	12.3	1.77	1.77	1.18	1.76	17.12	1
5.88	1.25	1.27	2.26	11.03	2.26	9.74	0.37	0.37	0.86	4.4	22.36	1
4.1	3.29	2.8	1.84	10.4	1.32	7.38	1.15	2.65	0.57	1.84	25.2	1
3.02	6.8	8.19	5.28	16.6	5.28	16.6	2.93	2.93	1.13	0.84	27.64	1
1.35	1.25	2.85	13.3	5.65	8.19	5.65	0.17	0.23	2.84	0	1.36	0
0.9	2.02	3.26	6.16	3.32	1.1	3.32	1.99	0.62	0.24	0.4	0.92	1
0.56	1.25	2.55	1.65	7.32	1.65	5.03	1.37	1.37	1.56	0.64	1.88	1
1.77	2.37	4.45	6.35	4.08	1.58	2.06	0.28	0.23	0.6	0.56	3.28	0
2.66	1.06	1.27	3.69	22.49	3.69	3.86	0.14	0.14	0.13	1.4	1.84	0
2.69	0.71	5.76	2.31	4.16	2.31	3.93	0.01	0.01	1.18	0.32	0.64	1
3.4	2.02	3.26	4.05	15.7	3.98	15.47	2.23	0.5	1.03	3.52	4.56	1
2.3	3.36	3.82	13.46	9.34	11.44	9.34	0.39	1.16	0.08	1.32	6.44	1
3.01	0.56	1.41	17.7	10.08	3.11	8.93	0.05	1.68	2.93	1.48	6.8	0
2.3	1.9	3.51	3.77	10.52	1.79	5.19	0.18	0.27	1.71	4.08	4.08	0
2.7	4.07	4.43	1.04	8.99	1.04	8.12	1.11	1.11	0.51	2.52	3	1
4.91	6.49	5.06	1	2.1	1	2.1	2.04	2.04	1.04	6.44	9.44	0
