speed_p,speed_r,speed_d,distance_d_p,distance_d_r,distance_d1_p,distance_d2_r,angle_d,angle_d1_p,angle_d2_r,possTimePre,possessionTime,flag
5.10,2.92,6.25,2.41,8.87,2.41,4.49,0.20,0.20,1.06,2.52,31.56,0
0.00,7.29,5.80,12.38,10.58,3.95,9.73,1.81,2.33,0.36,1.08,3.48,1
3.25,2.36,6.00,3.11,2.55,3.11,2.55,1.66,1.66,2.44,0.00,0.64,1
1.06,3.25,0.56,2.28,9.17,2.28,4.44,2.28,2.28,2.31,4.24,5.32,1
7.25,0.71,7.59,6.59,8.08,2.42,2.01,0.92,3.02,3.03,4.72,11.16,1
1.12,0.79,1.35,29.84,87.14,1.30,43.15,0.08,0.41,0.35,0.00,14.52,0
2.02,1.75,1.03,11.11,14.93,9.99,14.93,1.43,1.85,1.06,3.36,5.08,1
0.90,1.95,3.20,3.67,8.90,3.67,8.09,0.95,0.95,2.26,3.48,9.00,1
1.27,0.75,2.24,3.22,18.94,3.22,8.14,0.07,0.07,2.25,2.92,13.16,1
2.55,3.47,0.71,16.26,57.40,5.23,13.99,0.00,0.15,0.25,0.00,15.36,0
2.66,3.40,5.26,5.01,24.15,5.01,14.20,0.36,0.36,2.37,0.00,1.68,1
4.01,1.35,5.84,4.39,35.26,4.39,29.09,0.98,0.98,0.39,0.00,4.00,1
2.61,4.10,4.27,1.12,28.71,1.12,2.90,1.37,1.37,0.46,1.56,8.56,1
4.85,2.46,3.54,1.00,7.98,1.00,4.36,0.19,0.19,0.01,0.00,10.56,1
2.30,2.02,4.51,5.23,13.02,5.23,10.38,0.95,0.95,0.87,0.00,48.56,1
2.47,1.80,0.75,0.51,4.79,0.51,4.79,2.79,2.79,0.24,1.76,23.36,1
3.09,5.76,3.01,8.50,7.31,5.46,3.74,0.13,0.26,0.18,0.00,34.96,1
1.27,5.01,1.27,6.44,8.40,3.16,8.40,0.03,1.88,3.05,3.16,39.84,0
5.39,4.67,6.37,1.84,3.94,1.84,3.94,2.38,2.38,0.46,1.00,1.12,0
3.72,5.51,6.86,17.70,9.95,3.14,3.16,0.97,1.52,1.61,3.48,4.84,1
4.74,1.52,3.16,8.40,51.80,4.11,8.30,0.01,0.04,0.18,0.00,7.32,0
2.93,4.91,4.74,13.42,19.98,12.51,19.98,0.24,1.12,0.44,6.24,7.12,1
2.06,2.66,3.75,35.02,2.08,9.80,2.08,0.10,0.48,2.98,1.80,12.32,0
3.20,3.61,3.34,6.22,17.51,1.49,9.31,0.56,2.11,0.50,2.08,3.32,1
0.90,1.60,1.90,40.33,4.00,18.21,4.00,0.01,0.29,0.82,13.24,22.04,0
3.58,1.90,7.79,2.26,10.62,2.26,10.62,2.97,2.97,0.10,0.00,0.24,1
0.56,0.90,2.76,11.29,8.29,4.34,6.08,0.12,0.41,0.22,2.64,6.28,0
3.82,1.12,1.60,1.78,7.80,1.49,2.26,2.61,0.97,2.70,1.20,2.36,1
2.02,0.79,1.25,1.24,4.40,1.24,4.40,1.29,1.29,3.09,0.00,3.44,1
5.62,1.00,6.41,0.22,5.64,0.22,5.64,1.65,1.65,2.51,1.88,6.08,1
2.66,5.51,5.27,2.91,3.26,2.91,3.26,1.52,1.52,2.90,0.48,7.04,1
4.74,1.12,1.25,7.50,71.10,1.80,43.10,0.02,1.21,0.29,1.96,10.80,0
4.74,5.94,3.29,6.11,10.67,6.11,10.67,1.59,1.59,1.21,0.00,2.12,1
2.24,2.57,3.40,1.44,13.50,1.44,3.35,1.68,1.68,1.42,2.60,7.16,1
3.00,2.02,5.64,10.21,14.93,1.75,4.30,0.51,3.01,0.15,1.12,9.40,0
6.21,1.80,0.79,20.25,16.73,2.97,3.74,0.26,1.15,1.44,0.24,3.96,0
1.75,6.13,5.06,19.75,1.14,3.09,1.14,2.79,2.86,0.06,1.80,9.68,0
1.27,1.25,0.71,2.40,16.34,2.40,12.66,0.86,0.86,1.61,0.00,1.60,1
0.56,1.58,3.58,2.62,7.57,2.62,7.57,1.49,1.49,0.12,1.00,3.20,1
2.51,2.92,4.32,2.25,15.35,2.25,14.46,1.54,1.54,0.11,1.16,5.56,1
1.50,1.80,0.79,45.50,2.18,11.46,2.18,0.63,1.03,2.54,0.00,10.80,0
3.89,2.30,2.02,6.45,4.02,3.22,4.02,0.10,0.07,2.92,0.40,13.00,1
4.75,0.56,0.50,25.53,6.40,0.76,6.40,1.12,0.48,0.28,0.76,17.36,0
4.14,4.07,6.49,10.04,19.93,1.71,6.16,0.06,0.52,0.47,0.96,5.32,0
2.51,4.65,2.93,11.59,20.72,2.05,8.70,0.02,0.04,0.28,0.60,5.04,0
1.35,1.06,2.57,1.12,10.87,1.12,6.04,0.56,0.56,0.94,0.16,5.04,1
3.58,1.90,1.82,9.90,8.06,0.86,7.02,0.74,0.88,2.82,0.44,7.00,1
1.27,0.71,0.75,31.57,86.80,5.60,46.71,0.02,0.83,0.07,1.16,14.20,0
3.01,2.02,7.57,6.73,17.94,6.73,14.44,0.91,0.91,1.93,0.00,7.88,1
3.76,2.50,5.02,3.63,23.04,3.63,17.48,1.33,1.33,0.82,2.36,11.80,1
4.04,0.56,5.90,4.88,12.67,4.88,11.69,1.12,1.12,0.07,2.20,14.64,1
