speed_p,speed_r,speed_d,distance_d_p,distance_d_r,distance_d1_p,distance_d2_r,angle_d,angle_d1_p,angle_d2_r,possTimePre,possessionTime,flag
1.80,4.03,1.77,1.97,10.97,1.97,2.38,3.07,3.07,2.69,0.64,17.60,1
4.83,2.26,1.52,1.50,4.80,1.50,2.92,0.78,0.78,0.94,1.36,19.12,1
7.04,1.03,1.80,2.78,6.28,2.78,1.63,0.62,0.62,2.00,0.52,19.96,0
2.46,5.26,3.95,12.55,12.30,1.20,12.30,1.30,1.77,0.97,2.04,21.92,1
3.95,1.35,0.90,24.78,89.41,2.96,49.56,0.01,2.65,0.21,3.04,27.16,0
2.85,1.90,2.66,31.53,8.26,19.20,8.26,0.16,0.11,0.01,14.20,27.44,0
1.68,0.90,2.50,10.92,6.64,4.65,6.64,1.64,2.57,0.13,3.92,13.64,1
2.37,3.29,4.43,4.43,16.56,4.43,14.14,0.63,0.63,2.09,3.48,18.32,1
1.12,0.79,1.50,12.74,10.34,6.58,4.24,0.14,0.06,0.42,2.44,22.32,1
3.01,2.37,1.82,3.78,8.68,3.78,3.22,0.20,0.20,1.88,1.72,24.44,1
0.75,6.05,2.37,1.08,11.47,1.08,4.80,2.22,2.22,0.81,0.72,28.04,1
1.60,1.03,0.56,39.49,20.37,7.78,3.86,0.05,0.58,2.33,1.60,74.40,0
1.58,11.82,5.30,10.39,10.42,8.92,4.32,0.07,1.00,1.42,0.00,1.48,1
3.29,6.86,3.48,17.68,14.04,4.30,3.28,1.08,1.47,3.11,2.56,5.52,1
6.67,7.62,8.55,10.11,5.05,6.61,5.05,0.85,2.03,2.16,0.56,7.88,1
4.76,3.09,1.12,3.91,8.98,2.33,5.37,0.62,0.72,0.85,7.48,12.76,1
4.67,2.51,5.88,4.60,8.15,3.61,8.15,0.63,1.25,0.32,1.64,15.96,1
2.80,7.35,5.20,5.92,22.49,5.92,22.49,2.22,2.22,0.37,1.04,18.84,1
2.02,3.81,3.76,3.84,7.16,3.84,1.04,0.37,0.37,0.57,2.44,23.56,1
1.35,1.27,0.71,0.72,11.40,0.72,9.51,0.02,0.02,0.39,2.60,26.16,0
2.25,0.56,0.35,0.85,9.82,0.85,9.82,2.06,2.06,2.28,3.76,4.68,1
1.50,2.14,3.25,56.39,68.31,5.89,5.10,0.00,0.07,1.26,1.72,11.12,0
0.79,2.15,1.03,31.44,20.40,7.54,6.22,0.00,0.34,0.11,7.20,12.20,0
11.32,3.54,1.82,3.42,4.94,3.42,3.54,1.42,1.42,2.39,0.36,1.52,1
2.14,0.50,3.76,3.11,7.99,2.24,7.99,1.47,0.47,1.91,0.00,2.28,1
4.19,0.56,4.01,6.18,4.80,2.47,4.80,2.38,0.61,0.61,2.00,5.64,1
3.95,1.46,3.02,6.02,6.78,6.02,6.78,0.22,0.22,0.34,1.20,7.40,1
2.50,3.76,2.61,15.31,10.77,2.85,10.77,0.74,1.13,0.76,1.40,10.48,1
8.28,7.62,3.36,4.25,2.94,4.25,2.94,0.65,0.65,3.01,1.52,12.12,1
3.88,3.36,3.82,3.26,11.08,3.26,7.62,0.44,0.44,1.49,2.04,14.88,1
2.14,0.35,1.80,5.22,12.60,5.22,12.60,1.79,1.79,1.18,1.60,17.12,1
4.81,0.90,1.06,7.45,8.80,3.20,8.80,0.32,2.72,0.44,3.04,22.36,1
3.95,2.85,2.76,1.34,10.39,1.34,7.69,1.40,1.40,0.64,1.72,25.20,1
3.58,6.37,5.02,6.80,17.30,6.80,17.30,2.26,2.26,1.09,0.48,27.64,1
1.35,1.25,2.85,13.30,5.65,8.19,5.65,0.17,0.23,2.84,0.00,1.36,0
1.06,2.25,2.36,5.83,3.45,1.61,3.45,2.32,0.56,0.25,0.04,0.92,1
0.90,1.12,2.36,1.70,7.52,1.70,6.30,1.14,1.14,1.55,0.44,1.88,1
1.82,2.55,4.16,6.53,3.96,1.86,2.16,0.39,0.28,0.58,0.36,3.28,0
3.47,1.95,2.02,3.69,13.02,2.56,5.70,0.26,0.30,0.72,1.12,1.84,0
2.02,0.56,6.05,2.33,3.83,2.33,3.83,0.37,0.37,2.92,0.12,0.64,1
3.34,1.46,1.90,3.71,16.30,3.71,14.86,0.49,0.49,0.99,3.32,4.56,1
2.06,3.18,3.82,13.32,9.74,11.78,9.74,0.40,1.15,0.11,1.16,6.44,1
6.37,0.56,1.50,14.63,9.94,2.30,8.16,0.10,1.98,3.13,0.76,6.80,0
3.91,1.68,3.26,5.52,25.04,1.98,11.00,0.02,1.49,0.58,2.80,4.08,0
3.36,3.82,4.74,1.44,8.94,1.44,8.30,1.16,1.16,0.47,2.32,3.00,1
4.91,6.49,5.06,1.00,2.10,1.00,2.10,2.04,2.04,1.04,6.44,9.44,0
