speed_p,speed_r,speed_d,distance_d_p,distance_d_r,angle_d,possTimePre,possessionTime,flag
4.60,8.50,6.33,1.56,15.32,1.60,1.12,2.48,1
4.37,4.26,4.59,2.38,10.45,2.66,2.20,5.68,1
2.51,3.40,5.27,6.94,13.60,1.68,0.52,7.52,1
3.51,2.14,5.10,2.44,12.59,1.21,4.40,12.44,1
3.05,0.56,3.13,7.52,14.70,0.15,2.32,13.44,0
2.80,5.62,5.06,5.71,15.73,1.31,2.04,3.20,1
10.08,8.51,5.46,21.71,6.94,2.63,1.20,7.96,1
8.59,3.20,3.25,2.97,6.71,1.23,5.52,13.88,1
1.90,3.64,8.55,7.43,3.31,2.19,0.56,14.60,1
2.92,1.25,3.01,5.35,5.49,0.56,0.48,15.76,1
3.01,1.60,1.00,33.10,1.63,2.16,2.60,19.40,0
1.90,4.47,4.10,25.00,14.71,0.08,0.00,0.04,1
1.46,1.46,3.72,4.10,4.10,3.12,0.48,0.52,1
3.34,3.78,5.02,2.96,6.00,2.92,1.12,14.40,1
3.95,1.25,6.73,5.01,21.95,0.28,1.36,16.84,1
1.25,1.75,1.82,34.98,13.26,0.02,1.64,24.56,0
1.35,0.25,6.79,3.62,15.70,0.14,7.44,9.52,0
5.34,2.46,5.26,9.90,9.54,2.51,1.24,1.24,1
1.46,3.26,3.55,7.29,5.71,0.23,1.64,2.00,0
2.30,2.26,1.00,6.73,10.72,1.92,3.36,4.36,1
2.12,0.90,3.01,7.11,7.12,0.87,0.12,5.60,1
4.51,3.04,5.71,5.91,10.06,2.70,1.32,9.20,1
1.95,3.29,14.45,4.17,15.42,0.98,0.96,10.96,1
1.68,2.70,5.88,8.79,4.96,1.49,0.76,12.28,1
0.79,2.55,0.56,4.18,31.94,0.28,0.36,14.12,1
1.27,2.92,1.35,2.02,2.48,0.93,0.96,16.08,1
6.18,1.58,0.25,2.86,7.84,3.13,0.72,17.60,1
2.61,5.84,5.40,8.13,11.90,1.21,3.04,20.84,1
6.56,3.72,2.12,32.62,10.34,0.63,0.00,26.20,1
5.52,2.85,6.31,4.97,5.86,1.70,0.00,26.56,1
2.55,3.61,3.05,8.90,10.66,1.81,4.60,31.56,0
0.56,7.21,6.29,13.15,9.79,1.91,1.24,3.48,1
3.26,4.07,4.92,2.72,2.87,0.39,0.64,0.64,1
2.80,1.52,0.35,2.25,8.67,2.40,4.44,5.32,1
6.41,0.56,4.16,7.13,6.99,0.95,4.96,11.16,1
1.00,1.12,1.90,29.46,86.42,0.06,0.40,14.52,0
3.26,3.00,1.77,11.13,15.07,1.43,3.56,5.08,1
0.79,2.15,3.01,3.40,8.54,0.94,3.60,9.00,1
1.06,0.25,2.15,3.49,18.75,0.08,3.08,13.16,1
3.34,1.80,0.79,15.49,56.99,0.01,0.20,15.36,0
3.61,3.40,5.27,5.35,24.81,0.53,0.24,1.68,1
3.69,1.35,6.40,3.13,32.88,0.54,0.40,4.00,1
0.35,4.37,3.95,12.70,16.17,0.26,1.76,8.56,1
4.85,2.46,3.54,1.00,7.98,0.19,0.00,10.56,1
2.30,2.02,4.51,5.23,13.02,0.95,0.00,48.56,1
2.37,0.35,2.30,1.14,5.12,1.97,2.24,23.36,1
3.09,5.76,3.01,8.50,7.31,0.13,0.00,34.96,1
1.90,5.02,1.52,6.00,8.40,0.11,3.28,39.84,0
4.98,4.60,6.60,2.20,3.40,2.26,1.12,1.12,0
3.69,5.51,4.72,17.11,11.02,1.00,3.60,4.84,1
4.74,1.52,3.16,8.40,51.80,0.01,0.00,7.32,0
2.80,5.53,5.06,14.45,19.98,0.21,6.48,7.12,1
2.57,3.29,4.14,32.42,2.62,0.05,2.40,12.32,0
3.26,3.55,2.93,5.00,18.12,0.64,2.28,3.32,1
0.35,1.27,1.80,40.65,4.19,0.00,13.40,22.04,0
3.58,1.90,7.79,2.26,10.62,2.97,0.00,0.24,1
0.71,0.25,2.14,11.52,7.93,0.08,2.84,6.28,0
4.25,1.25,2.30,7.71,0.85,2.39,2.00,2.36,1
1.00,4.78,5.70,5.13,3.22,0.29,1.08,3.44,1
10.51,1.46,6.13,1.61,5.28,0.87,2.00,6.08,1
2.25,6.15,7.91,2.33,2.75,2.69,0.96,7.04,1
2.50,1.03,0.90,7.33,71.00,0.05,2.20,10.80,0
3.54,5.70,6.08,4.59,9.78,1.59,0.96,2.12,1
1.25,3.26,3.82,0.85,12.73,1.71,2.80,7.16,1
3.58,0.79,5.02,8.01,13.10,0.49,1.48,9.40,0
5.90,1.27,1.41,21.24,16.51,0.26,0.80,3.96,0
1.82,6.08,4.78,20.54,1.39,2.82,1.96,9.68,0
1.27,1.25,0.71,2.40,16.34,0.86,0.00,1.60,1
0.56,1.58,4.47,3.01,7.54,1.44,1.16,3.20,1
1.03,2.66,3.35,2.32,15.43,1.98,1.40,5.56,1
1.58,3.76,0.90,45.33,12.81,0.01,2.20,10.80,0
3.91,3.54,3.91,7.06,3.93,0.15,0.64,13.00,1
4.32,0.56,0.56,25.11,6.42,1.14,1.00,17.36,0
4.19,4.01,7.04,10.77,20.44,0.05,1.16,5.32,0
2.51,3.95,2.76,11.47,20.22,0.03,0.76,5.04,0
3.01,1.03,2.14,3.11,2.82,1.98,4.96,5.04,1
1.82,1.25,0.75,0.76,14.52,1.41,1.36,7.00,1
1.52,0.56,0.50,31.47,86.60,0.02,1.28,14.20,0
2.37,1.90,6.91,15.48,8.20,0.75,0.92,7.88,1
3.51,2.85,5.30,3.81,23.12,1.32,2.52,11.80,1
3.48,0.79,5.48,4.50,11.31,1.11,2.44,14.64,1
2.25,1.27,0.56,2.06,7.55,0.13,2.04,17.00,1
0.75,0.50,2.70,8.20,8.17,0.17,1.56,18.88,1
2.80,3.48,3.89,1.97,4.50,0.69,0.72,19.84,1
1.00,3.40,1.90,2.91,26.72,0.08,8.08,28.92,0
2.75,2.57,7.16,2.40,18.35,0.25,2.36,3.20,1
3.01,0.90,4.98,3.54,6.79,2.13,2.68,6.04,1
1.00,2.50,3.34,4.27,15.95,0.89,0.72,8.24,1
3.04,2.36,4.61,16.60,22.75,0.82,1.76,10.48,1
2.50,1.41,0.75,17.79,17.90,0.12,3.68,16.44,1
3.26,4.76,1.25,16.53,14.20,0.05,6.08,23.72,1
3.95,1.25,1.50,2.47,8.49,1.52,1.40,25.28,1
1.27,5.27,4.85,13.83,29.57,0.71,2.16,29.56,1
8.78,4.37,1.27,2.62,1.35,2.32,8.72,38.76,1
4.96,1.12,1.35,1.70,9.21,0.38,4.80,43.80,1
11.24,0.25,5.15,6.71,5.21,0.49,2.88,47.00,1
2.00,2.25,5.03,6.08,12.88,1.51,1.72,50.08,1
3.40,3.82,5.48,7.16,18.36,0.95,1.12,52.40,1
1.82,3.00,4.19,3.21,24.89,1.48,4.52,57.56,1
5.59,0.90,1.25,15.20,7.34,0.53,5.56,68.88,1
2.30,1.58,2.50,3.55,19.54,0.73,1.12,71.80,1
6.73,4.19,4.26,9.20,13.19,0.45,1.88,74.88,0
5.76,5.26,5.30,15.12,2.21,1.38,2.72,21.56,1
0.56,1.52,1.90,7.18,11.78,2.53,2.40,24.64,1
0.25,1.27,3.95,5.46,5.96,0.44,2.84,27.88,1
0.56,0.50,1.46,11.76,17.27,0.19,0.56,29.96,0
1.27,4.96,2.51,3.67,11.35,1.99,0.00,0.64,1
8.53,7.40,6.83,5.12,4.48,3.13,0.92,1.80,1
2.85,6.83,3.01,1.20,18.06,0.12,2.76,9.16,0
3.02,3.01,5.22,3.26,41.71,1.27,3.92,7.44,1
0.71,1.77,5.22,10.29,16.14,1.28,3.00,11.92,1
1.68,5.25,3.58,5.44,23.34,0.09,1.88,14.72,1
3.64,1.80,3.47,17.41,19.55,0.01,0.44,16.68,0
2.47,5.55,4.61,2.52,28.71,2.67,2.40,4.60,1
6.54,3.05,1.58,8.61,19.77,0.06,2.64,8.20,0
4.03,0.25,5.59,0.82,9.36,3.05,1.28,1.56,1
0.56,2.80,2.69,4.30,15.73,0.12,1.08,3.20,1
2.02,1.95,4.37,18.90,9.43,0.50,1.20,5.36,1
0.79,2.02,3.05,2.52,18.07,0.79,0.72,6.36,1
2.02,2.51,3.61,5.32,19.83,0.11,4.68,11.76,1
2.47,1.35,6.37,18.87,13.32,0.03,2.96,16.00,0
2.69,1.12,2.02,10.78,14.14,1.45,1.56,4.00,1
2.37,3.48,2.70,4.77,14.33,1.72,1.08,5.92,1
4.76,1.03,2.02,9.95,15.40,2.12,2.76,10.20,1
1.35,1.03,1.46,13.79,16.01,0.52,1.88,13.96,1
2.46,4.85,3.25,4.94,12.87,1.60,0.56,15.64,1
2.15,3.34,4.37,6.79,10.07,0.43,2.04,18.80,1
0.35,1.25,1.52,4.67,12.03,2.96,1.08,20.48,1
3.95,2.69,5.77,4.30,28.57,1.05,3.12,24.96,1
0.79,2.06,3.91,9.20,15.13,1.07,3.00,29.04,1
0.90,4.12,2.66,0.64,9.86,0.24,0.64,24.52,1
2.51,4.28,4.37,2.08,26.74,2.74,2.12,29.40,1
5.52,2.70,6.17,3.14,17.21,0.09,7.04,55.16,0
4.83,6.17,5.76,5.81,17.11,2.96,0.76,3.28,1
3.40,0.90,4.67,3.31,13.64,0.25,2.00,2.56,1
0.50,1.06,3.01,28.04,57.30,0.02,0.84,5.32,0
2.00,3.18,0.25,5.56,7.40,1.71,0.80,18.28,1
3.91,3.75,1.68,1.30,4.26,0.95,2.36,7.20,0
2.30,4.92,4.53,37.95,39.25,0.14,1.12,2.24,0
3.09,4.37,3.58,7.60,14.21,1.28,2.84,3.96,1
2.85,1.41,2.80,11.96,9.27,1.62,3.04,8.12,1
